case_id,status,pattern_tags,outcome,summary,decision,opened_ts,sar_filed,customer_id
CASE-H001,closed,device_sharing,confirmed_fraud,Stolen cards tested on a single shared tablet.,BLOCK_TRANSACTION,9000000,false,CUST-30001
CASE-H002,closed,device_sharing|new_customer,confirmed_fraud,Fresh accounts rotated on one device.,BLOCK_TRANSACTION,9000000,false,CUST-30002
CASE-H003,closed,device_sharing,false_positive,Family members sharing a home PC.,ALLOW_TRANSACTION,9000000,false,CUST-30003
CASE-H004,closed,device_sharing|synthetic_identity,confirmed_fraud,Synthetic identities built on one laptop.,BLOCK_TRANSACTION,9000000,false,CUST-30004
CASE-H005,closed,ip_cluster,confirmed_fraud,Proxy exit node shared by a mule network.,BLOCK_TRANSACTION,9000000,false,CUST-30005
CASE-H006,closed,ip_cluster|new_customer,confirmed_fraud,Mule recruits onboarded from the same proxy.,BLOCK_TRANSACTION,9000000,false,CUST-30006
CASE-H007,closed,velocity_burst,confirmed_fraud,BIN attack with sub-$5 authorisations.,BLOCK_TRANSACTION,9000000,false,CUST-30007
CASE-H008,closed,velocity_burst|account_takeover,confirmed_fraud,Card tested then drained from a new device.,BLOCK_TRANSACTION,9000000,false,CUST-30008
CASE-H009,closed,velocity_burst,false_positive,Office manager bulk-buying gift cards.,ALLOW_TRANSACTION,9000000,false,CUST-30009
CASE-H010,closed,account_takeover,confirmed_fraud,Credential-stuffed account used from a proxy.,BLOCK_TRANSACTION,9000000,false,CUST-30010
CASE-H011,closed,account_takeover|geo_anomaly,confirmed_fraud,Takeover from overseas after phishing.,BLOCK_TRANSACTION,9000000,false,CUST-30011
CASE-H012,closed,account_takeover,false_positive,Customer bought a new phone before a holiday purchase.,ALLOW_TRANSACTION,9000000,false,CUST-30012
CASE-H013,closed,geo_anomaly,false_positive,Customer travelling in Europe.,ALLOW_TRANSACTION,9000000,false,CUST-30013
CASE-H014,closed,geo_anomaly,false_positive,Customer relocated for work.,ALLOW_TRANSACTION,9000000,false,CUST-30014
CASE-H015,closed,geo_anomaly,confirmed_fraud,Cloned card used abroad.,BLOCK_TRANSACTION,9000000,false,CUST-30015
CASE-H016,closed,impossible_travel|account_takeover,confirmed_fraud,Card skimmed and used on another continent.,BLOCK_TRANSACTION,9000000,false,CUST-30016
CASE-H017,closed,impossible_travel,confirmed_fraud,Counterfeit card used minutes after a domestic purchase.,BLOCK_TRANSACTION,9000000,false,CUST-30017
CASE-H018,closed,structuring,confirmed_fraud,Repeated sub-threshold P2P transfers (SAR filed).,BLOCK_TRANSACTION,9000000,false,CUST-30018
CASE-H019,closed,structuring|new_customer,confirmed_fraud,New account layering funds below CTR limits.,BLOCK_TRANSACTION,9000000,false,CUST-30019
CASE-H020,closed,synthetic_identity,confirmed_fraud,Bust-out after credit-building on fabricated identity.,BLOCK_TRANSACTION,9000000,false,CUST-30020
CASE-H021,closed,synthetic_identity|new_customer,false_positive,Student housing — unrelated tenants.,ALLOW_TRANSACTION,9000000,false,CUST-30021
CASE-H022,closed,bot_device|device_sharing,confirmed_fraud,Emulator farm creating accounts.,BLOCK_TRANSACTION,9000000,false,CUST-30022
CASE-H023,closed,bot_device,confirmed_fraud,Scripted checkout from an emulator.,BLOCK_TRANSACTION,9000000,false,CUST-30023
CASE-H024,closed,dormant_reactivation|account_takeover,confirmed_fraud,Dormant account hijacked after data breach.,BLOCK_TRANSACTION,9000000,false,CUST-30024
CASE-H025,closed,dormant_reactivation,false_positive,Seasonal customer returning.,ALLOW_TRANSACTION,9000000,false,CUST-30025
CASE-H026,closed,first_party,confirmed_fraud,Serial chargebacks on delivered goods.,BLOCK_TRANSACTION,9000000,false,CUST-30026
CASE-H027,closed,first_party,false_positive,Legitimate disputes over defective products.,ALLOW_TRANSACTION,9000000,false,CUST-30027
CASE-H028,closed,first_party|account_takeover,confirmed_fraud,Customer claimed takeover to dispute purchases.,BLOCK_TRANSACTION,9000000,false,CUST-30028
CASE-H029,closed,first_party,false_positive,Merchant billing errors triggered disputes.,ALLOW_TRANSACTION,9000000,false,CUST-30029
CASE-H030,closed,new_customer,false_positive,New customer's first large electronics order.,ALLOW_TRANSACTION,9000000,false,CUST-30030
CASE-H031,closed,new_customer,false_positive,Welcome-offer purchase by a new customer.,ALLOW_TRANSACTION,9000000,false,CUST-30031
CASE-H032,closed,new_customer,false_positive,Wedding registry order from new account.,ALLOW_TRANSACTION,9000000,false,CUST-30032
CASE-H033,closed,new_customer|account_takeover,confirmed_fraud,Stolen identity used to open and spend.,BLOCK_TRANSACTION,9000000,false,CUST-30033
CASE-H900,closed,device_sharing|new_customer,confirmed_fraud,Card-not-present ring cycling stolen cards through one Android handset.,BLOCK_AND_FILE_SAR,15000000,false,CUST-30034
CASE-H901,closed,ip_cluster|new_customer,confirmed_fraud,Money-mule cluster funnelling stolen cards through a residential proxy.,BLOCK_AND_FILE_SAR,25000000,false,CUST-30054
HHGOA-001,open,,pending,Shared Android handset cycling new credit cards,,15000000,false,CUST-30040
HHGOA-002,open,,pending,Micro-charge card testing followed by a $480 purchase,,16000000,false,CUST-30041
HHGOA-003,open,,pending,Long-tenured customer on new device via Nigerian proxy,,17000000,false,CUST-30042
HHGOA-004,open,,pending,Card-present-like purchase from a new country (Portugal),,18000000,false,CUST-30043
HHGOA-005,open,,pending,"Three cards, two customers, one desktop",,19000000,false,CUST-30045
HHGOA-006,open,,pending,Seven P2P transfers just under the $10k reporting threshold,,20000000,false,CUST-30046
HHGOA-007,open,,pending,"Thin-file customers sharing address, device and IP",,21000000,false,CUST-30050
HHGOA-008,open,,pending,Rule hit on a routine purchase by a long-standing customer,,22000000,false,CUST-30051
HHGOA-009,open,,pending,Repeat disputer buys again on a known device,,23000000,false,CUST-30052
HHGOA-010,open,,pending,Nine $25 gift cards in twenty minutes from a business account,,24000000,false,CUST-30053
HHGOA-011,open,,pending,Residential proxy shared by nine cards within an hour,,25000000,false,CUST-30062
HHGOA-012,open,,pending,"Two-day-old customer, $890 first purchase",,26000000,false,CUST-30063
HHGOA-013,open,,pending,Card used in the US and Brazil forty minutes apart,,27000000,false,CUST-30064
HHGOA-014,open,,pending,Android emulator cycling fresh accounts,,28000000,false,CUST-30069
HHGOA-015,open,,pending,New handset passes SMS OTP — then a SIM-swap report,,29000000,false,CUST-30070
